Company,Public Or Private,Country,Industry,Description,Website,Employees (Estimate),Region,Sdg 1: Aligned,Sdg 1: Misaligned,Sdg 2: Aligned,Sdg 2: Misaligned,Sdg 3: Aligned,Sdg 3: Misaligned,Sdg 4: Aligned,Sdg 4: Misaligned,Sdg 5: Aligned,Sdg 5: Misaligned,Sdg 6: Aligned,Sdg 6: Misaligned,Sdg 7: Aligned,Sdg 7: Misaligned,Sdg 8: Aligned,Sdg 8: Misaligned,Sdg 9: Aligned,Sdg 9: Misaligned,Sdg 10: Aligned,Sdg 10: Misaligned,Sdg 11: Aligned,Sdg 11: Misaligned,Sdg 12: Aligned,Sdg 12: Misaligned,Sdg 13: Aligned,Sdg 13: Misaligned,Sdg 14: Aligned,Sdg 14: Misaligned,Sdg 15: Aligned,Sdg 15: Misaligned,B Corp,Company Size,Culture Score,Capacity Score,Conduct Score,Collaboration Score,Oracle Score,Revenue (M),Member Of Business In The Community Uk,Member Full Abpi,Net Impact Ratio,B Corp Community Impact Score,B Corp Assessment Score
E.ON,Public,Germany,Environment and Energy,"E.ON SE is a German  multinational electric utility company based in Essen, Germany. It operates as one of the world's largest investor-owned electric utility service providers. The name originates from the Latin word aeon, derived from the Greek aion, which means age. The company is a component of the Euro Stoxx 50 stock market index, DAX stock index and a member of the Dow Jones Global Titans 50 index.It operates in over 30 countries and has over 50 million customers. Its chief executive officer is Leonhard Birnbaum.E.ON was created in 2000 through the merger of VEBA and VIAG.In 2016, it separated its conventional power generation and energy trading operations into a new company, Uniper, while retaining retail, distribution and nuclear operations. E.ON sold its stake in Uniper through a stock market listing and sold the remaining stock to the Finnish utility Fortum.In March 2018, it was announced that E.ON would acquire the utility portion of renewable energy utility Innogy through a complex €43 billion asset swap deal between E.ON, Innogy and RWE. The deal was approved by the EU antitrust authorities in September 2019, with final execution taking place in July 2020.In 2019, E.ON became the first of the ""Big Six"" UK power companies to switch all of its British electricity customers entirely to renewable electricity. However the company still owns coal power in Turkey.: 48 In 2020, E.ON UK announced that it would be migrating customers over to a new subsidiary brand called E.ON Next. E.ON Next also has two million migrated customers from commercial energy firm npower Business Solutions and Powershop after acquiring both companies.CollapseSource: Wikipedia",www.eon.com,"69,378 (Annual report, 2022)",Europe,0,0,0,0,0,0,0,0,0,0,0,0,0.306,-0.303,0.249,0,0.286,-0.303,0,0,0.204,-0.303,0,0,0.183,-0.507,0,0,0,0,0,Mega,0,0,0,0,0,131951,0,0,,,
Daimler,Public,Germany,Automotive and Parts,"The Mercedes-Benz Group AG (previously named Daimler-Benz, DaimlerChrysler and Daimler) is a German multinational automotive corporation headquartered in Stuttgart, Baden-Württemberg, Germany. It is one of the world's leading car manufacturers. Daimler-Benz was formed with the merger of Benz & Cie., the world's oldest car company, and Daimler Motoren Gesellschaft in 1926. The company was renamed DaimlerChrysler upon the acquisition of American automobile manufacturer Chrysler Corporation in 1998, and was again renamed Daimler AG upon divestment of Chrysler in 2007. In 2021, Daimler AG was the second-largest German automaker and the sixth-largest worldwide by production. In February 2022, Daimler was renamed Mercedes-Benz Group as part of a transaction that spun-off its commercial vehicle segment as an independent company, Daimler Truck.The Mercedes-Benz Group's marques are Mercedes-Benz for cars and vans (including Mercedes-AMG and Mercedes-Maybach) and Smart. It has shares in other vehicle manufacturers such as Daimler Truck, Denza, BAIC Motor and Aston Martin.By unit sales, the Mercedes-Benz Group is the tenth-largest car manufacturer in the world; shipping two million passenger vehicles in 2021 and by revenue the sixth-largest car manufacture worldwide in 2022. The group provides financial services through its Mercedes-Benz Mobility arm. The company is a component of the Euro Stoxx 50 stock market index. The central company headquarters, the Mercedes-Benz offices, a car assembly plant, the Mercedes-Benz Museum and the Mercedes-Benz Arena are situated in the Mercedes-Benz complex in Stuttgart.CollapseSource: Wikipedia",www.daimler.com/company/,"168,797 (Demandbase, 2022)",Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269,0,0.195,0,0,0,0.217,-0.313,0,0,0.17,-0.313,0,0,0,0,0,Mega,0,0,0,0,0,160008,0,0,,,
Focus Media,Public,Hong Kong,Business Services,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,-0.426,0,0,0,0,0,0,0,Medium,0,0,0,0,0,2198,0,0,,,
Saipem,Public,Italy,Environment and Energy,"Saipem S.p.A. (Società Azionaria Italiana Perforazioni E Montaggi lit. Drilling and
Assembly Italian Public Limited Company) is an Italian multinational oilfield services
company and one of the largest in the world. Until 2016 it was a subsidiary of Italian
oil and gas supermajor Eni, which retains approximately 30% of Saipem's shares.  ...Source: Wikipedia",www.saipem.com,"29,453 (Demandbase, 2022)",Europe,0,0,0,0,0,0,0,0,0,0,0,-0.176,0.052,-0.29,0.25,0,0.026,-0.29,0,0,0.026,-0.29,0,0,0.052,-0.676,0,-0.176,0,0,0,Large,0,0,0,0,0,11017,0,0,,,
ENI,Public,Italy,Environment and Energy,"Eni S.p.A. (Italian pronunciation: [ˈɛːni]) is an Italian multinational energy company headquartered in Rome. One of the ""supermajor"" oil companies in the world, with a market capitalization of €48 billion, as of 31 December 2022. The Italian government owns a 30.33% golden share in the company, 4.37% held through the Ministry of Economy and Finance and 25.96% through the Cassa Depositi e Prestiti. The company is a component of the Euro Stoxx 50 stock market index.The name ""ENI"" was initially the acronym of ""Ente Nazionale Idrocarburi"" (National Hydrocarbons Board). However, through the years after its foundation, it operated in many fields including contracting, nuclear power, energy, mining, chemicals and plastics, refining/extraction and distribution machinery, the hospitality industry and even the textile industry and news.With revenues of around €92.2 billion, Eni ranked 111th on both the Fortune Global 500 and the Forbes Global 2000 in 2022, making it the third-largest Italian company on the Fortune list (after Assicurazioni Generali and Enel) and second largest on the Forbes list (after Enel). Per the Fortune Global 500, Eni is the largest petroleum company in Italy, the second largest based in the European Union (after TotalEnergies), and the 13th largest in the world.CollapseSource: Wikipedia",www.eni.com/,"31,888 (Annual report, 2021)",Europe,0,0,0,0,0,0,0,0,0,0,0,-0.308,0.107,-0.571,0.25,0,0.093,-0.341,0,0,0.052,-0.341,0.015,0,0.071,-0.538,0,-0.301,0,-0.011,0,Mega,0,0,0,0,0,77771,0,0,0.640969163,,
Enel,Public,Italy,Environment and Energy,"Enel S.p.A. is an Italian multinational manufacturer and distributor of electricity and gas. Enel, which originally stood for Ente nazionale per l'energia elettrica (National Electricity Board), was first established as a public body at the end of 1962, and then transformed into a limited company in 1992. In 1999, following the liberalisation of the electricity market in Italy, Enel was privatised. The Italian state, through the Ministry of Economy and Finance, is the main shareholder, with 23.6% of the share capital as of 1 April 2016.Enel is the 90th largest company in the world by revenue, with €140 billion in 2022. As of 2018, Enel is also the second largest power company in the world by revenue after the State Grid Corporation of China. The company is quoted on the FTSE MIB index on the Milan Stock Exchange.CollapseSource: Wikipedia",www.enel.com,"65,124 (Annual report, 2022)",Europe,0,0,0,0,0,-0.05,0,0,0,0,0,-0.244,0.288,-0.306,0.25,0,0.15,-0.261,0,0,0.11,-0.261,0,0,0.282,-0.306,0,-0.233,0,0,0,Mega,0,0,0,0,0,160254,0,0,,,
Jinchuan,Public,China,Industrial and Manufacturing,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,-1,0,0,0,0,0,-0.013,0,0,0.25,0,0,0,0,0,0,0,0,0,0,-0.026,0,-0.337,0,-0.674,0,Medium,0,0,0,0,0,3712,0,0,,,
Airbus,Public,Netherlands,Aerospace and Defense,"Airbus SE (; French: [ɛʁbys] ; German: [ˈɛːɐ̯bʊs] ; Spanish: [ˈejɾβus]) is a European  multinational aerospace corporation. The company's primary business is the design and manufacturing of commercial aircraft. The company also has separate commercial, defence and space and helicopter divisions. As of 2019, Airbus is the world's largest manufacturer of airliners as well as the leading helicopter manufacturer.The company was incorporated as the European Aeronautic Defence and Space Company (EADS) in 2000 through the merger of the French Aérospatiale and the German DASA, and later acquired full ownership of Airbus, a collaboration of European aerospace companies to develop and produce a wide-body aircraft to compete with American-built airliners, which would later merge together. Reflecting this multi-national origin, the company operates major offices and assembly plants in France, Germany, Spain, and the United Kingdom, along with more recent additions in Canada, China, and the United States.Airbus's registered headquarters is in Leiden, Netherlands, but daily management is conducted from Toulouse, France. The 'SE' in its corporate name means it is a Societas Europaea. The company is led by CEO Guillaume Faury and is a component of the Euro Stoxx 50 stock market index.CollapseSource: Wikipedia",www.airbus.com,"141,799 (Demandbase, 2022)",Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0,0.026,0,0,0,0,-0.451,0,0,0,-0.423,0,0,0,0,0,Mega,0,0,0,0,0,56898,0,0,0.557268722,,
Trafigura,Private,Netherlands,Environment and Energy,"Trafigura is a multinational commodity trading company domiciled in Singapore with major regional hubs in Geneva, Houston, Montevideo and Mumbai, founded in 1993. The company trades in base metals and energy. It is the world's largest private metals trader and second-largest oil trader having built or purchased stakes in pipelines, mines, smelters, ports and storage terminals. Trafigura was formed by Claude Dauphin and Eric de Turckheim in 1993, but quickly split off from a group of companies managed by Marc Rich.Trafigura has been named or involved in several scandals, particularly the 2006 Ivory Coast toxic waste dump, which left up to 100,000 people with skin rashes, headaches and respiratory problems. The company was also involved in the Iraq Oil-for-Food Scandal.CollapseSource: Wikipedia",www.trafigura.com/,"8,619 (Annual report, 2020)",Europe,0,0,0,0,0,0,0,0,0,0,0,-0.152,0.076,-0.272,0.25,0,0.043,-0.152,0,0,0,-0.152,0.011,0,0.054,-0.467,0,-0.326,0,-0.141,0,Mega,0,0,0,0,0,171474,0,0,,,
Petroleum Geo-Services,Public,Norway,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,Europe,0,0,0,0,0,0,0,0,0,0,0,-0.438,0,-0.438,0.25,0,0,-0.438,0,0,0,-0.438,0,0,0,-0.438,0,-0.438,0,0,0,Small,0,0,0,0,0,825,0,0,,,
DNO International,Public,Norway,Environment and Energy,"DNO ASA (OSE: DNO) is a Norwegian oil and gas operator focused on the Middle
East and the North Sea. Founded in 1971 and listed on the Oslo Stock Exchange,
the Company holds stakes in onshore and offshore licenses at various stages of
exploration, development and production in the Kurdistan region of Iraq, Norway,
the United Kingdom and Yemen.  ...Source: Wikipedia",www.dno.no,"1,449 (Demandbase, 2022)",Europe,0,0,0,0,0,0,0,0,0,0,0,-0.415,0,-0.454,0.25,0,0,-0.417,0,0,0,-0.417,0,0,0,-0.752,0,-0.415,0,0,0,Medium,0,0,0,0,0,1377,0,0,,,
Woodside Petroleum,Public,Australia,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,Oceania,0,0,0,0,0,0,0,0,0,0,0,-0.49,0,-0.964,0.25,0,0,-0.5,0,0,0,-0.5,0,0,0,-0.53,0,-0.49,0,0,0,Medium,0,0,0,0,0,6962,0,0,,,
Equinor,Public,Norway,Environment and Energy,"Equinor ASA (formerly Statoil and StatoilHydro) is a Norwegian state-owned multinational energy company headquartered in Stavanger, Norway. It is primarily a petroleum company operating in 36 countries with additional investments in renewable energy. In the 2020 Forbes Global 2000, Equinor was ranked as the 169th-largest public company in the world. As of 2021, the company has 21,126 employees.The current company was formed by the 2007 merger of Statoil with the oil and gas division of Norsk Hydro. As of 2017, the Government of Norway is the largest shareholder with 67% of the shares, while the rest is public stock. The ownership interest is managed by the Norwegian Ministry of Petroleum and Energy. The company is headquartered and led from Stavanger, while most of their international operations are currently led from Fornebu, outside Oslo.The name Equinor was adopted in 2018 and is formed by combining equi, the root for words such as equity, equality, and equilibrium, and nor, indicating that the company is of Norwegian origin. The Norwegian meaning of the former name Statoil is 'state oil', indicating that the oil company is state-owned.CollapseSource: Wikipedia",www.equinor.com/,"21,126 (Annual report, 2021)",Europe,0,0,0,0,0,0,0,0,0,0,0,-0.334,0.032,-0.586,0.25,0,0.022,-0.452,0,0,0,-0.452,0,0,0.065,-0.593,0,-0.334,0,0,0,Mega,0,0,0,0,0,90924,0,0,0.700440529,,
Galp,Public,Portugal,Environment and Energy,"Galp Energia, SGPS, S.A. is a Portuguese multinational energy corporation, headquartered in Lisbon, Portugal. Galp consists of more than 100 companies engaged in every aspect of the oil and natural gas supply, hydrocarbon exploration and production; refining, trading, logistics and retailing; co-generation and renewable energy. Galp was founded in 1999 through the merger of Petrogal, Gás de Portugal and Transgás. As of 2020, it is the largest oil and gas group in Portugal, where it distributes gas and sells petrol.CollapseSource: Wikipedia",www.galp.com,"6,386 (Demandbase, 2020)",Europe,0,0,0,0,0,0,0,0,0,0,0,-0.435,0.032,-0.694,0.25,0,0.032,-0.484,0,0,0,-0.484,0.016,0,0.016,-0.677,0,-0.435,0,0,0,Large,0,0,0,0,0,16934,0,0,,,
Gudang Garam Tbk,Public,Indonesia,Consumer Goods,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,-0.982,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,0,0,0,0,0,8075,0,0,-0.843612335,,
Surgutneftegas,Public,Russian Federation,Environment and Energy,"Surgutneftegas (Russian: ПАО «Сургутнефтегаз», IPA: [sʊrɡʊtnʲɪftʲɪˈɡas]) is a Russian oil and gas company created by merging several previously state-owned companies owning large oil and gas reserves in Western Siberia. The company's headquarters are located in Surgut, Khanty-Mansi Autonomous Okrug. In the 2020 Forbes Global 2000, Surgutneftgas was ranked as the 251st -largest public company in the world.Surgutneftegas includes a large oil refinery in Kirishi, Leningrad Oblast, operated by the Kirishinefteorgsintez subsidiary. The company is also engaged in fuel retail activities in north-west Russia by cooperating with the Petersburg Fuel Company. Surgutneftegas is also a shareholder of Oneximbank (Объединённый экспортно-импортный банк).From the beginning Surgutneftegas has been led by president and director general Vladimir Bogdanov, who had run the Surgut oil fields since 1983. CollapseSource: Wikipedia",www.surgutneftegas.ru,"113,000 (Demandbase, 2021)",Europe,0,0,0,0,0,0,0,0,0,0,0,-0.462,0,-0.846,0.25,0,0,-0.462,0,0,0,-0.462,0,0,0,-0.654,0,-0.462,0,0,0,Large,0,0,0,0,0,18147,0,0,,,
Lukoil,Public,Russian Federation,Environment and Energy,"The PJSC Lukoil Oil Company (Russian: Лукойл, tr. Lukoil, IPA: [ˈluːkɔɪl] stylized as LUKOIL) is a Russian multinational energy corporation headquartered in Moscow, specializing in the business of extraction, production, transport, and sale of petroleum, natural gas, and petroleum products. It was formed in 1991 when three state-run, western Siberian companies named after the respective town in Khanty–Mansi Autonomous Okrug that each was based in, Langepasneftegaz, Urayneftegaz, and Kogalymneftegaz, merged. Its name is the combination of the acronym LUK (initials of the oil-producing cities of Langepas, Uray, Kogalym) and the English word ""oil"".Lukoil is the second largest company in Russia after Gazprom, and the largest non-state enterprise in the nation in terms of revenue (₽4,744 billion). Internationally, it is one of the largest global producers of crude oil. In 2012, the company produced 89.856 million tons of oil (1.813 million barrels) per day. The company has operations and subsidiaries in more than 40 countries around the world.CollapseSource: Wikipedia",www.lukoil.com,"102,400 (Demandbase, 2019)",Europe,0,0,0,0,0,0,0,0,0,0,0,-0.328,0.04,-0.631,0.25,0,0.026,-0.434,0,0,0.026,-0.434,0,0,0.013,-0.631,0,-0.328,0,0,0,Mega,0,0,0,0,0,118836,0,0,0.676211454,,
Gazprom,Public,Russian Federation,Environment and Energy,"PJSC Gazprom (Russian: Газпром, IPA: [ɡɐsˈprom]) is a Russian majority state-owned multinational energy corporation headquartered in the Lakhta Center in Saint Petersburg. As of 2019, with sales over $120 billion, it was ranked as the largest publicly listed natural gas company in the world and the largest company in Russia by revenue. In the 2020 Forbes Global 2000, Gazprom was ranked as the 32nd largest public company in the world. The Gazprom name is a contraction of the Russian words gazovaya promyshlennost (газовая промышленность, gas industry). In January 2022, Gazprom displaced Sberbank from the first place in the list of the largest companies in Russia by market capitalization. In 2022, the company's revenue amounted to 8 trillion rubles. In 2023, the company is delisted from international markets, and continues substantial construction in its operational results (such as production, export).Gazprom is vertically integrated and is active in every area of the gas industry, including exploration and production, refining, transport, distribution and marketing, and power generation. In 2018, Gazprom produced twelve percent of the global output of natural gas, producing 497.6 billion cubic meters of natural and associated gas and 15.9 million tonnes of gas condensate. Gazprom then exports the gas through pipelines that the company builds and owns across Russia and abroad, such as Nord Stream 1 and TurkStream. In the same year, Gazprom has proven reserves of 35.1 trillion cubic meters of gas and 1.6 billion tons of gas condensate. Gazprom is also a large oil producer through its subsidiary Gazprom Neft, producing about 41 million tons of oil with reserves amounting to 2 billion tons. The company also has subsidiaries in industrial sectors, including finance, media and aviation, and majority stakes in other companies.Gazprom was created in 1989, when the Soviet Ministry of Gas Industry was converted to a corporation, becoming the first state-run corporate enterprise in the Soviet Union. After the Soviet Union's dissolution, Gazprom was privatized, retaining its Russia-based assets. At that time, Gazprom evaded taxes and state regulations and engaged in asset stripping. The company later returned to government control in the early 2000s, and since then, the company has been involved in the Russian government's diplomatic efforts, setting of gas prices, and access to pipelines.The company is majority-owned by the Russian government, via the Federal Agency for State Property Management and Rosneftegaz, while the remaining shares are traded publicly. Gazprom has a listing in the Moscow Exchange and had a market capitalization of US$80.56 billion as of September 2019.CollapseSource: Wikipedia",www.gazprom-international.com/,"473,800 (fortune500, 2020)",Europe,0,0,0,0,0,0,0,0,0,0,0,-0.375,0,-0.781,0.25,0,0,-0.5,0,0,0,-0.5,0,0,0,-0.781,0,-0.375,0,0,0,Mega,0,0,0,0,0,119733,0,0,0.656387665,,
Continental Resources,Public,USA,Environment and Energy,No description available currently.,www.contres.com,"1,254 (Demandbase, 2021)",North America,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,-1,0.25,0,0,-0.5,0,0,0,-0.5,0,0,0,-0.921,0,-0.5,0,0,0,Medium,0,0,0,0,0,8841,0,0,,,
EnagÃƒÂ¡s,Public,Spain,Environment and Energy,No description available currently,No wesbite information available currently,No employee estimate available currently,Europe,0,0,0,0,0,0,0,0,,,,,,,0.25,0,0,-0.5,0,0,,,,,,,,,,,0,Medium,0,0,0,0,0,1053,0,0,,,
Repsol,Public,Spain,Environment and Energy,"Repsol S.A. (Spanish pronunciation: [reβˈsol]) is a Spanish multinational energy and petrochemical company based in Madrid. It is engaged in worldwide upstream and downstream activities. In the 2022 Forbes Global 2000, Repsol was ranked as the 320th-largest public company in the world. As of 2022, it has 24,000 employees worldwide.It is vertically integrated and operates in all areas of the oil and gas industry, including exploration and production, refining, distribution and marketing, petrochemicals, power generation and trading. The business strategy also includes a renewable energy division.CollapseSource: Wikipedia",www.repsol.com,"24,309 (Demandbase, 2021)",Europe,0,0,0,0,0,0,0,0,0,0,0,-0.262,0.064,-0.702,0.25,0,0.032,-0.378,0,0,0.032,-0.378,0,0,0.064,-0.76,0,-0.32,0,0,0,Mega,0,0,0,0,0,74432,0,0,0.647577093,,
Galp Energia,Public,Spain,Environment and Energy,No description available currently.,www.galp.com/corp/en/,"6,389 (Wikipedia, 2021)",Europe,0,0,0,0,0,0,0,0,0,0,0,-0.371,0.07,-0.682,0.25,0,0.07,-0.465,0,0,0,-0.465,0,0,0.035,-0.682,0,-0.37,0,0,0,Mega,0,0,0,0,0,182710,0,0,,,
Yanzhou Coal Mining,Public,China,Industrial and Manufacturing,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0,0,0,-0.4,0,0,0,0,0,-0.4,0,-0.786,0.25,0,0,-0.4,0,0,0,-0.4,0,0,0,-0.832,0,-0.4,0,-0.771,0,Large,0,0,0,0,0,16094,0,0,,,
Japan Tobacco,Public,Japan,Consumer Goods,No description available currently,No wesbite information available currently,No employee estimate available currently,Asia,0,0,0.047,0,0.023,-0.905,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Large,0,0,0,0,0,18108,0,0,-0.588105727,,
Parkland Fuel,Public,Canada,Industrial and Manufacturing,No description available currently,No wesbite information available currently,No employee estimate available currently,North America,0,0,0,0,0,0,0,0,0,0,0,-0.264,0,-0.529,0.25,0,0,-0.264,0,0,0,-0.264,0,0,0,-0.529,0,-0.264,0,0,0,Large,0,0,0,0,0,21468,0,0,,,
